date,gname,longitude,latitude,value,attype
2017-01-17,Islamic State of Iraq and the Levant (ISIL),44.375465000000005,35.45211,2.0,Bombing/Explosion
2017-01-17,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,3.0,Armed Assault
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0,Unknown
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0,Unknown
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0,Unknown
2017-01-14,Islamic State of Iraq and the Levant (ISIL),40.041601,35.321843,0,Unknown
2017-01-16,Islamic State of Iraq and the Levant (ISIL),40.138737,35.333061,0,Bombing/Explosion
2017-01-17,Houthi extremists (Ansar Allah),43.637531,13.413117000000002,6.0,Bombing/Explosion
2017-01-19,Al-Shabaab,43.88881,4.1228,2.0,Facility/Infrastructure Attack
2017-01-18,Islamic State of Iraq and the Levant (ISIL),44.218292,34.057114,17.0,Hostage Taking (Kidnapping)
2017-01-18,Islamic State of Iraq and the Levant (ISIL),42.723026000000004,35.569427000000005,3.0,Bombing/Explosion
2017-01-18,Taliban,65.17141,31.515435999999998,2.0,Armed Assault
2017-01-18,Al-Shabaab,45.326115,2.059819,0.0,Bombing/Explosion
2017-01-18,Boko Haram,14.150642000000001,11.255011,2.0,Bombing/Explosion
2017-01-18,Al-Shabaab,42.280334,2.349308,0.0,Bombing/Explosion
2017-01-18,Taliban,69.14701099999999,34.516895,0.0,Bombing/Explosion
2017-01-18,Islamic State of Iraq and the Levant (ISIL),43.791004,34.458889,7.0,Armed Assault
2017-01-18,Islamic State of Iraq and the Levant (ISIL),43.806946999999994,34.897607,3.0,Armed Assault
2017-01-18,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,2.0,Bombing/Explosion
2017-01-18,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,2.0,Bombing/Explosion
2017-01-18,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,2.0,Bombing/Explosion
2017-01-18,Houthi extremists (Ansar Allah),44.024105,13.586484,3.0,Bombing/Explosion
2017-01-18,Houthi extremists (Ansar Allah),44.024105,13.586484,3.0,Bombing/Explosion
2017-01-19,Sinai Province of the Islamic State,33.800865,31.126646,1.0,Armed Assault
2017-01-19,Maoists,81.663776,19.595851,3.0,Bombing/Explosion
2017-01-19,Al-Shabaab,45.118061,2.14383,6.0,Armed Assault
2017-01-19,Islamic State of Iraq and the Levant (ISIL),43.143570000000004,36.354145,4.0,Bombing/Explosion
2017-01-19,Boko Haram,14.46611,12.268526,8.0,Unknown
2017-01-20,New People's Army (NPA),125.08285900000001,6.923432000000001,0.0,Facility/Infrastructure Attack
2017-01-20,Taliban,65.050156,31.619314000000003,22.0,Armed Assault
2017-01-20,Taliban,65.050156,31.619314000000003,21.0,Armed Assault
2017-01-20,Taliban,67.74194399999999,36.7025,2.0,Assassination
2017-01-20,Maoists,84.252903,18.821768,0.0,Bombing/Explosion
2017-01-20,Taliban,66.207712,36.099845,1.0,Assassination
