origin,destination,origin_country,destination_country,count
LSZR,LSZV,CH,CH,7
2VG7,KHWY,US,US,7
KATL,KEFD,US,US,7
KATL,KONZ,US,US,7
KLNK,KCOS,US,US,7
KSNA,CL46,US,US,7
LIRA,LIMA,IT,IT,7
KMKC,44MO,US,US,7
KLNK,KCBF,US,US,7
KDTW,KHHR,US,US,7
YBAF,YSBK,AU,AU,7
VIDP,VOTX,IN,IN,7
3TX9,K9F9,US,US,7
IL38,KMDW,US,US,7
KMIA,KSRQ,US,US,7
KBFI,WA61,US,US,7
KGCN,KLGB,US,US,7
KORL,PN66,US,US,7
IN72,KATL,US,US,7
KLGB,KSAC,US,US,7
KORS,61WA,US,US,7
KMIA,KPWK,US,US,7
KVDF,21FL,US,US,7
KUGN,KC35,US,US,7
GCXO,GCRR,ES,ES,7
KBLV,KSPI,US,US,7
LFRN,LFPG,FR,FR,7
KPHL,MA97,US,US,7
LIPQ,LIBD,IT,IT,7
OK17,KADS,US,US,7
KORL,KRAC,US,US,7
OK17,KAFW,US,US,7
KORL,KROC,US,US,7
KPHL,PA33,US,US,7
KITH,KTEB,US,US,7
KORL,KSLC,US,US,7
KRHV,KO88,US,US,7
KRHV,KO27,US,US,7
KSNA,KMRY,US,US,7
KRHV,KMAE,US,US,7
KRHV,KHWD,US,US,7
KBNA,CO12,US,US,7
KSTS,KRHV,US,US,7
0CL6,KCMA,US,US,7
LFPN,LFBD,FR,FR,7
LIPQ,LIPD,IT,IT,7
K33N,KILG,US,US,7
KDBQ,KMDW,US,US,7
KSNA,KPRC,US,US,7
KOSU,9OI7,US,US,7
KSTS,KLGB,US,US,7
KTYS,KLZU,US,US,7
KBLV,KSRQ,US,US,7
KMIA,KNUN,US,US,7
EGTE,EGNX,GB,GB,7
KOSU,K6G4,US,US,7
KSTS,KLAS,US,US,7
KIWS,21XS,US,US,7
SBVT,SNGA,BR,BR,7
13MA,KBED,US,US,7
YTGG,YMMB,AU,AU,7
KMIA,KMMU,US,US,7
KGRR,71MI,US,US,7
04MI,KDPA,US,US,7
KMIA,KONZ,US,US,7
KIWA,KSNA,US,US,7
32IS,KORD,US,US,7
KRFD,KPIE,US,US,7
