date,weapon laws,warrants,non-criminal,personal crimes,other,property crimes,financial ,statutory crimes,secondary codes,suspicious occ,trespass,runaway,family offenses,suicide,liquor laws
2016-10-26,5,11,48,52,47,204,11,20,3,24,9,1,0,0,1
2016-10-27,3,11,54,54,55,195,7,31,6,19,8,1,0,0,1
2016-10-28,3,7,54,66,48,227,7,15,6,17,5,0,0,0,1
2016-10-29,5,19,40,51,44,210,8,22,4,18,4,0,0,0,0
2016-10-30,5,6,44,62,36,227,10,16,4,18,3,1,0,0,0
2016-10-31,8,11,35,69,56,216,19,17,6,14,7,0,0,0,0
2016-11-01,5,16,48,59,69,164,18,33,10,24,8,0,0,0,0
2016-11-02,8,13,40,54,52,181,12,19,8,25,6,0,0,0,0
2016-11-03,2,18,53,66,55,189,6,24,9,18,4,1,0,0,1
2016-11-04,10,10,59,53,63,212,13,23,7,19,2,0,0,0,0
2016-11-05,2,13,46,64,47,189,5,16,4,16,4,0,0,0,1
2016-11-06,2,11,56,57,40,192,5,16,7,15,7,0,1,1,0
2016-11-07,5,7,39,40,47,177,4,11,10,22,3,0,0,0,0
2016-11-08,2,13,44,61,67,178,4,24,5,16,6,0,0,0,0
2016-11-09,3,12,46,46,50,184,9,15,4,15,10,1,0,1,1
2016-11-10,5,7,35,78,41,205,11,26,2,24,5,0,0,0,0
2016-11-11,12,9,46,73,57,193,6,24,6,17,7,0,1,1,0
2016-11-12,8,11,46,63,72,222,10,16,6,17,3,0,0,0,1
2016-11-13,2,7,30,39,47,173,8,17,3,18,2,0,0,0,0
2016-11-14,8,18,34,56,50,173,11,13,5,19,7,0,0,0,0
2016-11-15,13,17,47,57,61,192,15,27,9,26,8,0,0,0,0
2016-11-16,6,15,47,68,47,196,8,16,9,15,15,2,0,0,0
2016-11-17,5,14,45,49,51,200,6,20,9,23,10,0,0,2,0
2016-11-18,5,17,49,58,64,208,10,54,5,17,1,0,0,0,1
2016-11-19,4,11,35,67,43,198,14,23,5,13,2,0,0,0,2
2016-11-20,8,10,46,38,66,196,4,19,4,18,3,0,0,2,0
2016-11-21,4,10,53,42,50,190,10,14,10,14,5,0,0,0,0
2016-11-22,6,13,48,69,54,181,6,17,3,24,6,0,0,0,0
2016-11-23,5,15,45,50,48,211,7,23,2,13,9,0,0,0,0
2016-11-24,6,12,31,42,34,145,7,12,7,16,5,2,0,0,0
2016-11-25,7,17,50,67,66,208,13,15,6,11,6,2,0,0,0
2016-11-26,5,15,48,44,68,215,8,18,4,14,11,0,0,2,0
2016-11-27,4,13,40,54,53,197,5,15,6,15,6,0,1,0,0
2016-11-28,2,18,42,46,51,172,10,22,4,18,4,1,0,2,0
2016-11-29,10,14,48,54,67,188,13,13,6,15,8,1,0,0,0
2016-11-30,4,9,38,43,57,185,5,9,4,11,5,0,1,0,1
2016-12-01,2,16,51,51,63,174,15,56,4,28,5,0,0,0,0
2016-12-02,5,15,62,60,52,210,9,13,5,16,4,0,0,1,0
2016-12-03,3,15,35,50,34,186,3,20,5,17,8,0,1,0,0
2016-12-04,5,9,54,31,49,211,13,13,5,12,3,0,0,2,0
2016-12-05,4,12,46,53,52,201,5,15,5,16,7,0,0,0,1
2016-12-06,4,14,46,45,52,221,6,16,6,13,10,0,0,0,0
2016-12-07,3,13,39,38,46,178,12,7,6,20,3,0,0,0,0
2016-12-08,3,9,43,49,37,180,9,15,4,19,2,1,0,0,0
2016-12-09,1,15,47,49,44,213,5,12,3,14,8,0,0,0,0
2016-12-10,1,5,52,67,40,222,6,20,1,10,5,0,0,1,0
2016-12-11,8,7,37,55,52,229,9,19,3,20,4,0,0,0,0
2016-12-12,3,21,47,47,72,200,10,11,9,16,7,0,0,0,2
2016-12-13,4,15,44,62,48,195,8,12,5,18,3,0,0,2,0
2016-12-14,6,22,63,64,58,223,12,26,9,18,5,0,0,1,0
2016-12-15,4,10,47,52,46,205,12,13,3,13,3,1,1,0,0
2016-12-16,2,17,64,45,61,248,6,13,4,15,1,0,0,1,0
2016-12-17,2,11,50,57,39,206,9,15,6,15,3,1,2,0,0
2016-12-18,0,17,53,38,38,168,5,17,3,15,8,0,0,0,1
2016-12-19,3,17,62,34,48,218,7,16,4,18,5,0,0,0,0
2016-12-20,5,12,42,43,68,227,5,18,3,23,7,3,0,0,3
2016-12-21,2,18,49,54,57,161,7,22,7,17,6,0,0,0,0
2016-12-22,8,26,52,60,64,202,11,25,3,12,9,2,0,0,2
2016-12-23,7,16,49,42,55,220,12,13,2,19,5,0,1,1,1
2016-12-24,6,12,38,42,37,197,5,8,5,14,7,0,0,0,0
2016-12-25,2,3,33,32,23,110,3,7,2,11,0,0,0,0,0
2016-12-26,4,14,26,40,63,151,13,14,4,22,5,1,0,0,0
2016-12-27,6,19,32,48,56,211,11,24,4,18,6,3,0,0,0
2016-12-28,4,14,49,35,47,198,7,15,2,18,6,0,0,0,1
2016-12-29,3,19,51,46,45,201,10,21,3,21,4,1,0,0,0
2016-12-30,2,14,47,57,58,201,4,10,5,16,4,0,0,1,1
2016-12-31,3,17,66,57,60,214,9,24,5,15,6,0,0,0,2
